"Date","Hour","Total min.","Productive min.","Neutral min.","Distracting min."
"2021-10-15","10 AM","21.7","8.1","13.6","0.0"
"2021-10-15","11 AM","31.1","0.1","28.3","2.7"
"2021-10-15","12 PM","44.5","11.8","29.1","3.7"
"2021-10-15","1 PM","38.7","19.7","12.9","6.1"
"2021-10-15","3 PM","14.6","3.6","11.0","0.0"
"2021-10-15","4 PM","47.1","44.7","2.3","0.1"
"2021-10-15","5 PM","60.0","59.1","0.9","0.0"
"2021-10-15","6 PM","59.9","57.8","2.1","0.0"
"2021-10-15","7 PM","13.5","13.3","0.2","0.0"
"2021-10-15","10 PM","21.5","0.5","21.0","0.0"
"2021-10-16","2 AM","0.3","0.0","0.2","0.2"
"2021-10-16","3 PM","38.9","30.7","8.2","0.0"
"2021-10-16","4 PM","60.0","59.0","1.0","0.0"
"2021-10-16","5 PM","60.0","56.4","3.5","0.1"
"2021-10-16","6 PM","45.7","27.6","14.0","4.1"
"2021-10-17","2 AM","41.4","0.1","0.1","41.3"
"2021-10-17","1 PM","17.3","8.1","4.1","5.1"
"2021-10-17","2 PM","16.9","2.7","14.1","0.0"
"2021-10-17","3 PM","13.3","2.0","9.1","2.2"
"2021-10-17","4 PM","32.3","23.9","8.4","0.0"
"2021-10-17","5 PM","50.7","42.6","5.7","2.5"
"2021-10-17","6 PM","60.0","59.3","0.7","0.1"
"2021-10-17","7 PM","33.1","22.8","4.2","6.1"
"2021-10-17","8 PM","17.9","13.5","4.3","0.0"
"2021-10-17","9 PM","58.0","31.4","26.5","0.0"
"2021-10-17","10 PM","19.1","2.0","17.1","0.0"
"2021-10-17","11 PM","38.8","29.3","3.6","5.9"
"2021-10-18","12 AM","5.4","5.1","0.4","0.0"
"2021-10-18","8 AM","16.8","15.4","1.4","0.0"
"2021-10-18","9 AM","56.3","49.8","6.5","0.0"
"2021-10-18","10 AM","45.3","42.7","2.7","0.0"
"2021-10-18","11 AM","49.7","44.8","4.8","0.1"
"2021-10-18","12 PM","41.2","18.9","1.2","21.1"
"2021-10-18","1 PM","39.6","7.6","24.6","7.5"
"2021-10-18","2 PM","54.5","50.3","4.1","0.0"
"2021-10-18","3 PM","32.3","31.0","1.3","0.0"
"2021-10-18","4 PM","2.5","1.7","0.8","0.0"
"2021-10-18","5 PM","45.8","36.0","9.2","0.5"
"2021-10-18","6 PM","59.2","56.0","3.2","0.0"
"2021-10-18","7 PM","60.0","54.1","5.9","0.0"
"2021-10-18","8 PM","60.0","57.7","2.3","0.0"
"2021-10-18","9 PM","7.8","7.4","0.4","0.0"
"2021-10-18","10 PM","56.8","51.7","5.1","0.0"
"2021-10-18","11 PM","32.3","22.6","3.6","6.1"
"2021-10-19","12 AM","60.0","8.6","26.4","25.0"
"2021-10-19","1 AM","48.8","6.5","2.2","40.2"
"2021-10-19","2 AM","5.4","0.0","0.0","5.4"
"2021-10-19","12 PM","28.2","1.2","7.5","19.5"
"2021-10-19","1 PM","58.6","40.5","9.1","9.0"
"2021-10-19","2 PM","60.0","56.4","3.6","0.0"
"2021-10-19","3 PM","53.0","41.7","11.1","0.1"
"2021-10-19","4 PM","29.5","23.6","5.9","0.0"
"2021-10-19","5 PM","60.0","57.4","2.6","0.0"
