id,Project,value
?,NA,5.5333333
222,School,1529.7666666
222 module,School,33.85
222/400,School,165.7666667
240,School,1021.2833333
240 Exam,School,330.1
240 lectures,School,89.5333333
252,School,830.6833334
324,Working,121.65
324 catchup,Absorb,93.0333334
324 Q13,Working,37.6833333
340,Working,100.2333333
340 1.1-2.2,Absorb,142.3833333
340 catchup,Absorb,220.8166666
340 last minute study,Working,58.5833333
354,Working,103.69999999999999
354 HW7? Quiz,Working,114
354 l18,Working,63.95
354 l19,Working,109.3666667
354 learning catchup lectures,Absorb,124.94999999999999
354 lecture watching,Working,155.3
354 p2a,Working,182.9
354 p2a finish,Working,2.05
354 p2a finish & makefile,Working,12.3333333
354 p5,Working,87.0166667
354 read textbook,Absorb,0.1666667
400,School,191.0500001
400/222,School,49.9166667
540 hw 4,Working,291.6166667
540 hw2,Working,457.6833334
540 q,Absorb,27.6
AAS Midterm,Working,168.5833333
aas paper,Working,177.9999999
aas read,Working,10.9166667
aas readinf,Working,104.3333333
abstract,Systems,64.5833333
alone,NA,57.5166667
angie,Motivated,6.033333300000001
apartment shut,Working,24.45
apartments,Working,47.15
async,Working,34.9666667
ateam,School,658.85
atsh,Working,108.8333333
Backprop python,School,108.2
bootstrap,Working,3.8333334000000003
call ankur,NA,179
Call work on app koya,Motivated,112
canvas,School,19.0833333
Canvas,Systems,32.2
canvas entropy,Working,6.4833333
classes,School,59.8333333
clean,Chores,809.9999999
clean,Motivated,182.3333332
clean,NA,164.4166666
Clean,Motivated,19.2166667
Clean,School,138.1333334
clean  class,Motivated,11.8333333
clean apartment,Chores,120
clean kitchen,Chores,22.2833333
clean room,Motivated,28.7833333
cleaning up desktop,Working,16.849999999999998
code,Working,161.2333333
coding,Motivated,0.0166667
Coding,School,116.85
coding examples / reading C,Working,59.566666700000006
consistency,Systems,20.4666667
cook,Chores,70.35
cook dishes,Chores,74.1833333
cooking,Chores,69.15
cooking,NA,54.7
cs400,School,1710.4666663
CS400 Final Exam,School,192
css,Working,220.53333329999998
ddde,Working,121.3666667
discussion and work,School,96.9666667
dishes,Chores,103.5
dishes and make soup,Chores,20.6666667
dishes email,NA,73
distracted work,NA,41.5833333
doshes,Chores,67.1166667
eat and plan,NA,14.8333333
email,Chores,130.3
email,Working,11.7166667
Email,School,21.1166667
email karen / library card,Chores,10.2
email sudeep housing,Working,6.8333333
end of day / weekly / spreadsheet,Systems,131.4
Enter classes Google cal,Motivated,39.2
entered finals into omni,Planning,3.5666667
es,NA,6.3666667
exam,NA,75.8333333
features start,Working,87.3166667
ff,NA,8.6166667
finish Q12 324 w sudeep,NA,4.1
