State,Motivated,N_A,School,Working,Recreation,Chores,Systems,Planning,Absorb
2020-01-01,3.2036111099999998,0,0,0,0,0,0,0,0
2020-01-02,1.055555555,0.0036111116666666665,2.5091666666666668,0,0,0,0,0,0
2020-01-03,0.175555555,0,1.8033333333333335,0,0,0,0,0,0
2020-01-04,0,0,0.16666666666666666,0,0,0,0,0,0
2020-01-10,1.8666666666666667,0,1.424444445,0,0,0,0,0,0
2020-01-12,0,0,7.189166666666667,0,0,0,0,0,0
2020-01-13,0,0,1.1666666666666667,0,0,0,0,0,0
2020-01-14,0.9736111116666668,0,3.8738888883333336,0,0,0,0,0,0
2020-01-16,0,0,0.18333333333333332,0,0,0,0,0,0
2020-01-17,0,0,4.9130555566666665,0,0,0,0,0,0
2020-01-18,0,0,1.3727777783333333,0,0,0,0,0,0
2020-01-19,1.6333333333333333,0,3.1780555566666666,0,0,0,0,0,0
2020-01-20,0,0,1.47888889,0,0,0,0,0,0
2020-01-21,0,0,0.5838888883333333,0,0,0,0,0,0
2020-01-22,0,0,1.8333333333333335,0,0,0,0,0,0
2020-01-23,1.85,0,1.811944445,0,0,0,0,0,0
2020-01-24,0,0,4.316944445,0,0,0,0,0,0
2020-01-25,0,0,6.04,0,0,0,0,0,0
2020-01-26,0,0,3.507222221666667,0,0,0,0,0,0
2020-01-27,1.7241666666666666,0,1.6327777783333333,0,0,0,0,0,0
2020-01-28,0,0,4.597500001666667,0,0,0,0,0,0
2020-01-29,0,0,3.223055555,0,0,0,0,0,0
2020-01-30,0,0,1.5683333333333334,0,0,0,0,0,0
2020-01-31,0,0,3.42111111,0,0,0,0,0,0
2020-02-01,0,0,8.885833331666667,0,0,0,0,0,0
2020-02-02,0,0,4.9375,0,0,0,0,0,0
2020-02-03,0,0,3.8600000000000003,0,0,0,0,0,0
2020-02-04,0.6527777783333334,0,0.5880555550000001,0,0,0,0,0,0
2020-02-05,0,0,6.2480555566666665,0,0,0,0,0,0
2020-02-06,0.29083333333333333,0,5.055833331666666,0,0,0,0,0,0
2020-02-07,0,0,0.9958333333333333,0,0,0,0,0,0
2020-02-08,0,0,5.840000001666667,0,0,0,0,0,0
2020-02-09,0,0,2.478611111666667,0,0,0,0,0,0
2020-02-10,0,0,2.605277775,0,0,0,0,0,0
2020-02-11,0,0,3.5313888916666665,0,0,0,0,0,0
2020-02-12,0,0,6.166666666666666,0,0,0,0,0,0
2020-02-13,0,0,1.9499999983333334,0,0,0,0,0,0
2020-02-14,0,0,3.9250000000000003,0,0,0,0,0,0
2020-02-15,0,0,0.4197222216666667,0,0,0,0,0,0
2020-02-16,0,0,3.150555555,0,0,0,0,0,0
2020-02-17,0.04611111166666667,0,3.983055555,0,0,0,0,0,0
2020-02-18,0,0,1.7702777783333332,0,0,0,0,0,0
2020-02-19,0,0,2.2449999983333333,0,0,0,0,0,0
2020-02-20,0,0,1.47638889,0,0,0,0,0,0
2020-02-21,0,0,6.850277776666667,0,0,0,0,0,0
2020-02-22,0,0,4.070833333333334,0,0,0,0,0,0
2020-02-23,0,0,1.9775,0,0,0,0,0,0
2020-02-24,0,0,2.693888888333333,0,0,0,0,0,0
2020-02-25,0,0,4.418333333333334,0,0,0,0,0,0
2020-02-26,0,0,8.020555556666666,0,0,0,0,0,0
2020-02-27,0,0,4.0375,0,0,0,0,0,0
2020-02-28,0,0,12.547500001666666,0,0,0,0,0,0
2020-02-29,0,0,5.990833333333334,0,0,0,0,0,0
2020-03-01,0,0,3.7911111116666665,0,0,0,0,0,0
2020-03-02,0,0,6.7222222233333335,0,0,0,0,0,0
2020-03-03,0,0,3.8497222233333335,0,0,0,0,0,0
2020-03-04,0,0,4.309722221666667,0,0,0,0,0,0
2020-03-05,0,0,8.137222223333334,0,0,0,0,0,0
2020-03-06,0,0,7.5733333300000005,0,0,0,0,0,0
2020-03-07,0,0,1.2269444433333334,0,0,0,0,0,0
2020-03-08,0,0,3.17,0,0,0,0,0,0
2020-03-09,0,0,6.85166667,0,0,0,0,0,0
2020-03-10,0,0,8.290277776666667,0,0,0,0,0,0
2020-03-11,0,0,3.8186111116666663,0,0,0,0,0,0
2020-03-12,0,0,3.443055555,0,0,0,0,0,0
2020-03-14,0.601944445,0,0.459444445,0,0,0,0,0,0
2020-03-15,0,0,0.2963888883333333,0,0,0,0,0,0
2020-03-17,0.19416666666666668,0,0.0875,0,0,0,0,0,0
