Project,name,size
Absorb,Absorb/324 catchup,93.033333
Absorb,Absorb/340 1.1-2.2,142.383333
Absorb,Absorb/340 catchup,220.816667
Absorb,Absorb/354 learning catchup lectures,124.95
Absorb,Absorb/354 read textbook,0.166667
Absorb,Absorb/540 q,27.6
Absorb,Absorb/hw6 learn,69.133333
Absorb,Absorb/misc,126.566667
Absorb,Absorb/stats,100.716667
Absorb,Absorb/NA,139.166667
Chores,Chores/clean,810
Chores,Chores/clean apartment,120
Chores,Chores/clean kitchen,22.283333
Chores,Chores/cook,70.35
Chores,Chores/cook dishes,74.183333
Chores,Chores/cooking,69.15
Chores,Chores/dishes,103.5
Chores,Chores/dishes and make soup,20.666667
Chores,Chores/doshes,67.116667
Chores,Chores/email,130.3
Chores,Chores/email karen / library card,10.2
Chores,"Chores/laundry and change , tidy room a bit",19.883333
Chores,Chores/lunch,57.816667
Chores,Chores/mac reset,52.916667
Chores,Chores/make lunch,40.533333
Chores,Chores/misc,1018.433334
Chores,Chores/move,193.016667
Chores,Chores/pack,140.983333
Chores,Chores/rearrange room,36.916667
Chores,Chores/sandwich,5.783333
Chores,Chores/shopping last min,39.383333
Chores,Chores/Shower and dinner,42.066667
Chores,Chores/vacuum,5.016667
Chores,Chores/NA,2765.083333
Motivated,Motivated/angie,6.033333
Motivated,Motivated/Call work on app koya,112
Motivated,Motivated/clean,182.333333
Motivated,Motivated/Clean,19.216667
Motivated,Motivated/clean  class,11.833333
Motivated,Motivated/clean room,28.783333
Motivated,Motivated/coding,0.016667
Motivated,Motivated/Enter classes Google cal,39.2
Motivated,Motivated/fix day one,17.666667
Motivated,Motivated/Fix eclipse,111
Motivated,Motivated/help loya,134.366667
Motivated,Motivated/help others,39.166667
Motivated,Motivated/misc,183.616667
Motivated,Motivated/Move/clean,98
Motivated,Motivated/Organize,263.366667
Motivated,Motivated/p abs,137.816667
Motivated,Motivated/plan,71.5
Motivated,Motivated/Python,202.75
Motivated,Motivated/run down list,2
Motivated,Motivated/Run down list,103.45
Motivated,Motivated/sahas,157.716667
Motivated,Motivated/social,20.833333
Motivated,Motivated/spreadsheet,24.666667
Motivated,Motivated/start / momentum,144.216667
Motivated,Motivated/sudeep,64.716667
Motivated,Motivated/surya,18.7
Motivated,Motivated/System,9.85
Motivated,Motivated/thinking,155.8
Motivated,Motivated/work,42.583333
Motivated,Motivated/Worked down Omni list,53.483333
Planning,Planning/entered finals into omni,3.566667
Planning,Planning/misc,186.716667
Planning,Planning/omni / misc,58.083333
Planning,Planning/plan,33.55
Planning,Planning/planning,0.016667
Planning,Planning/update omni,296.15
Planning,Planning/NA,141.216666
Recreation,Recreation/lazy,1459.6
Recreation,Recreation/netflix,38.9
Recreation,Recreation/rec,72.133333
Recreation,Recreation/RimWorld,2355.616667
Recreation,Recreation/videogames,384.933333
Recreation,Recreation/YouTube,830.766667
Recreation,Recreation/NA,1362.8
School,School/222,1529.766667
School,School/222 module,33.85
School,School/222/400,165.766667
School,School/240,1021.283333
School,School/240 Exam,330.1
School,School/240 lectures,89.533333
School,School/252,830.683333
School,School/400,191.05
School,School/400/222,49.916667
School,School/ateam,658.85
School,School/Backprop python,108.2
School,School/canvas,19.083333
School,School/classes,59.833333
School,School/Clean,138.133333
School,School/Coding,116.85
School,School/cs400,1710.466666
School,School/CS400 Final Exam,192
School,School/discussion and work,96.966667
School,School/Email,21.116667
School,School/foodshed,112.416667
School,School/FoodShed,300.983333
School,School/geosci,431.583333
School,School/Google doc automation,561.183333
School,School/gs110,27.483333
School,School/hw6,454.966667
School,School/hw7,237.75
School,School/Internship and scholarship,10
School,School/lectures,282.966667
School,School/MAST-ML,881.483333
School,School/math,77.766667
School,School/Mental health app,1191.9
School,School/multi tasking,3.116667
School,School/Organize,376.233333
School,School/P0,162.783333
School,School/p3b,223.083333
School,School/p4,262.55
School,School/phm,439.95
School,School/phm quiz,57.116667
School,School/plan schedule,60
School,School/Resume,54.133333
School,School/Run down list,12803.116667
School,School/Splunk,90
School,School/study,42.216667
School,School/System,6.416667
School,School/x5,107.3
Systems,Systems/abstract,64.583333
Systems,Systems/Canvas,32.2
Systems,Systems/consistency,20.466667
Systems,Systems/end of day / weekly / spreadsheet,131.4
Systems,Systems/fix due dates,1012.083333
Systems,Systems/fix system,10.783333
Systems,Systems/logs,9.333333
Systems,Systems/Maintenance,150.816667
Systems,Systems/Maintenance - piazza,8.466667
Systems,Systems/misc,115.633333
Systems,Systems/misc eork,22.1
Systems,Systems/misc work,84.083333
Systems,Systems/omni,116.266667
Systems,Systems/omni clean,29.616667
Systems,Systems/Omni daily,29.483333
Systems,Systems/Omni Daily,331.7
Systems,Systems/piazza,3.316667
Systems,Systems/Plan,74.033333
Systems,Systems/prep,36.366667
Systems,Systems/productivity abstraction,428.766667
Systems,Systems/setup older mac,27.133333
Systems,Systems/sleep system,1.883333
Systems,Systems/spreadsheet,67.1
Systems,Systems/start,17.033333
Systems,Systems/sysrems,7.733333
Systems,Systems/vitamins,9.183333
Systems,Systems/vitamins & catchup,41.566667
Systems,Systems/weekly,329.516667
Systems,Systems/wind down,13
Systems,Systems/work,5.15
Systems,Systems/work on system - really low pressure to do well,167.55
Systems,Systems/NA,145.7
Working,Working/324,121.65
Working,Working/324 Q13,37.683333
Working,Working/340,100.233333
Working,Working/340 last minute study,58.583333
Working,Working/354,103.7
Working,Working/354 HW7? Quiz,114
Working,Working/354 l18,63.95
Working,Working/354 l19,109.366667
Working,Working/354 lecture watching,155.3
Working,Working/354 p2a,182.9
Working,Working/354 p2a finish,2.05
Working,Working/354 p2a finish & makefile,12.333333
Working,Working/354 p5,87.016667
Working,Working/540 hw 4,291.616667
Working,Working/540 hw2,457.683333
Working,Working/AAS Midterm,168.583333
Working,Working/aas paper,178
Working,Working/aas read,10.916667
Working,Working/aas readinf,104.333333
Working,Working/apartment shut,24.45
Working,Working/apartments,47.15
Working,Working/async,34.966667
Working,Working/atsh,108.833333
Working,Working/bootstrap,3.833333
Working,Working/canvas entropy,6.483333
Working,Working/cleaning up desktop,16.85
Working,Working/code,161.233333
