Project,Client,Description,Duration,Billable duration
Chores,," ",02:08:38,00:00:00
Chores,," start day",00:39:46,00:00:00
Chores,,cut cam hair,00:42:07,00:00:00
Chores,,fold laundry,00:12:02,00:00:00
Chores,,"hair, food",00:14:45,00:00:00
Chores,,haircut,00:34:42,00:00:00
Chores,,,09:03:57,00:00:00
Planning,," ",01:48:41,00:00:00
Planning,," things3 clean",00:22:55,00:00:00
Planning,,email,00:04:11,00:00:00
Planning,,half chores,00:12:54,00:00:00
Planning,,things3,01:49:34,00:00:00
Planning,,,03:55:47,00:00:00
Systems,,Complice,00:19:23,00:00:00
Systems,,,00:03:27,00:00:00
Working,," ",02:31:12,00:00:00
Working,," 639",00:49:45,00:00:00
Working,," 639 p1",01:14:51,00:00:00
Working,," 640",00:09:11,00:00:00
Working,," code test",02:31:47,00:00:00
Working,," foss",01:48:46,00:00:00
Working,,3*) job apps,01:42:56,00:00:00
Working,,340,00:41:24,00:00:00
Working,,570 interviews,01:37:00,00:00:00
Working,,576,01:10:36,00:00:00
Working,,639,11:22:54,00:00:00
Working,,639 even tho i'm not supposed to,01:05:53,00:00:00
Working,,640,03:51:51,00:00:00
Working,,640 slider prep,00:07:10,00:00:00
Working,,buy stuff,00:31:55,00:00:00
Working,,code,00:42:49,00:00:00
Working,,coding interview test,00:51:00,00:00:00
Working,,cognitive test,01:29:17,00:00:00
Working,,data vis writing,00:37:46,00:00:00
Working,,datavis,00:29:20,00:00:00
Working,,easel js,00:28:11,00:00:00
Working,,"FOSS, etc",00:24:00,00:00:00
Working,,help data vis people and 639,00:58:36,00:00:00
Working,,job,01:59:30,00:00:00
Working,,job apps,01:55:11,00:00:00
Working,,kinda went for it,00:54:24,00:00:00
Working,,leet,00:26:29,00:00:00
Working,,leetcode,01:52:12,00:00:00
Working,,misc,00:13:00,00:00:00
Working,,mostly 640,01:54:23,00:00:00
Working,,portfolYOU,01:00:04,00:00:00
Working,,read 640,00:53:11,00:00:00
Working,,reading,00:36:19,00:00:00
Working,,submodules,00:51:46,00:00:00
Working,,trying to write,02:51:46,00:00:00
Working,,website,01:49:23,00:00:00
Working,,,57:57:38,00:00:00
,," ",00:08:01,00:00:00
,,fun,00:30:00,00:00:00
,,help oat,00:30:19,00:00:00
,,help others 639,00:52:41,00:00:00
,,help sudeep,00:11:01,00:00:00
,,leetcode - should have stopped,01:46:17,00:00:00
,,security deposit,00:12:56,00:00:00
,,take photos for others,00:43:00,00:00:00
,,,09:05:05,00:00:00
